id_agro,Year,CleanFuelAndCookingEquipment,Cost of a healthy diet [CoHD],id_country
0,2002,7.7,,0.0
1,2002,41.4,,2.0
2,2002,97.4,,3.0
3,2002,,,4.0
4,2002,100,,5.0
5,2002,41.5,,6.0
6,2002,100,,9.0
7,2002,96.6,,10.0
8,2002,84.5,,11.0
9,2002,,,12.0
10,2002,100,,13.0
11,2002,100,,14.0
12,2002,76.9,,15.0
13,2002,100,,16.0
14,2002,100,,17.0
15,2002,8.5,,18.0
16,2002,100,,19.0
17,2002,94.8,,20.0
18,2002,100,,21.0
19,2002,81.3,,22.0
20,2002,1.1,,23.0
21,2002,,,24.0
22,2002,34.3,,25.0
23,2002,65.2,,26.0
24,2002,51.65,,28.0
25,2002,47.9,,29.0
26,2002,90.2,,31.0
27,2002,,,242.0
28,2002,100,,33.0
29,2002,,,34.0
30,2002,3.1,,35.0
31,2002,0.3,,36.0
32,2002,63.4,,40.0
33,2002,4.6,,37.0
34,2002,11.7,,38.0
35,2002,100,,39.0
36,2002,,,41.0
37,2002,0.5,,42.0
38,2002,2.6,,43.0
39,2002,100,,44.0
40,2002,42.9,,45.0
41,2002,79.8,,48.0
42,2002,0.8,,49.0
43,2002,1.3,,51.0
44,2002,9.4,,50.0
45,2002,89.7,,53.0
46,2002,17,,54.0
47,2002,100,,55.0
48,2002,69.4,,56.0
49,2002,,,57.0
50,2002,100,,58.0
51,2002,100,,59.0
52,2002,100,,60.0
53,2002,4.1,,61.0
54,2002,81.9,,62.0
55,2002,85.6,,63.0
56,2002,90.5,,64.0
57,2002,89.4,,65.0
58,2002,62.4,,66.0
59,2002,19.9,,67.0
60,2002,4.3,,68.0
61,2002,100,,69.0
62,2002,27.2,,213.0
63,2002,0.9,,70.0
64,2002,,,72.0
65,2002,28.2,,73.0
66,2002,100,,74.0
67,2002,100,,75.0
68,2002,,,77.0
69,2002,67.6,,79.0
70,2002,3.6,,80.0
71,2002,48.8,,81.0
72,2002,100,,82.0
73,2002,7.5,,83.0
74,2002,,,84.0
75,2002,100,,85.0
76,2002,,,86.0
77,2002,92.9,,87.0
78,2002,,,89.0
79,2002,38.9,,90.0
80,2002,0.8,,92.0
81,2002,1.3,,93.0
82,2002,100,,94.0
83,2002,2.8,,95.0
84,2002,33.4,,98.0
85,2002,,,99.0
86,2002,100,,100.0
87,2002,100,,101.0
88,2002,25.1,,102.0
89,2002,8.8,,103.0
90,2002,92.5,,104.0
91,2002,74.4,,105.0
92,2002,100,,106.0
93,2002,,,107.0
94,2002,100,,108.0
95,2002,100,,109.0
96,2002,79.5,,110.0
97,2002,100,,111.0
98,2002,99.7,,113.0
99,2002,86.1,,114.0
100,2002,2.5,,115.0
101,2002,1,,116.0
102,2002,1.8,,117.0
103,2002,100,,118.0
105,2002,100,,119.0
106,2002,56.1,,120.0
107,2002,1.5,,121.0
108,2002,100,,122.0
109,2002,,,123.0
110,2002,19.2,,124.0
111,2002,0.5,,125.0
112,2002,,,126.0
113,2002,,,127.0
114,2002,100,,128.0
115,2002,100,,129.0
116,2002,,,130.0
117,2002,1.2,,132.0
118,2002,2.1,,133.0
119,2002,98.1,,134.0
120,2002,40.4,,135.0
121,2002,0.8,,136.0
122,2002,100,,137.0
123,2002,12.7,,138.0
124,2002,33,,140.0
125,2002,94.4,,141.0
126,2002,83.7,,143.0
127,2002,10.7,,144.0
