"id_meteo","id_pays","annee","automne_tavg","hiver_tavg","printemps_tavg","ete_tavg","automne_tmax","hiver_tmax","printemps_tmax","ete_tmax","automne_tmin","hiver_tmin","printemps_tmin","ete_tmin"
"2","248","2018","5.07582","-3.30111","8.21778","16.8033","7.06593","-0.83","12.7833","20.5674","2.32967","-6.32444","2.78667","11.6326"
"3","1","2018","14.1725","8.91222","19.2033","24.6293","22.2044","14.8422","26.4946","32.4087","7.60659","3.86667","13.0413","18.2848"
"4","2","2018","18.9132","14.2911","17.9891","25.5348","22.9088","17.3978","22.1449","31.4404","15.1143","11.1033","15.2076","23.0641"
"5","3","2018","27.4506","27.5378","27.2989","26.4054","29.7791","30.1644","29.8043","28.7033","25.3264","25.1211","25.0435","24.362"
"6","5","2018","26.1868","27.4267","26.8539","22.7598","29.3703","30.8366","31.5708","25.875","23.9198","24.5815","24.3842","20.0838"
"7","6","2018","27.1868","25.163","26.6071","28.3222","29.5374","27.563","29.0247","30.89","25.1846","23.1167","24.7388","26.2756"
"8","8","2018","26.1967","24.9784","26.1209","27.5045","28.8319","27.4351","28.5209","29.9216","24.1132","22.9473","23.9","25.4568"
"9","9","2018","19.1286","24.11","17.0902","12.0152","23.9791","28.7476","20.8604","15.738","15.2725","20.2733","14.1522","8.86304"
"10","11","2018","27.7637","26.8543","28.0288","28.5034","30.1857","29.8971","31.1342","31.3736","25.7198","24.6914","26.0685","26.7011"
"11","13","2018","10.344","3.41111","17.6228","23.2283","13.1055","5.96444","23.5261","28.2848","7.89011","1.25333","12.8935","19.0228"
"12","14","2018","13.5187","5.73977","16.1495","26.5337","16.3516","8.26023","21.144","31.225","10.5802","3.49091","11.344","21.8891"
"13","15","2018","25.8571","23.12","25.7174","28.2935","30.0637","27.4145","29.6208","32.5523","22.256","19.4276","22.2569","24.5698"
"14","16","2018","27.0648","19.8011","30.0522","35.0978","29.9802","23.491","34.4191","39.2663","24.6022","16.7629","26.6371","32.0533"
"15","17","2018","25.1978","21.2967","27.4554","29.2293","29.8967","27.8506","32.4319","32.513","21.4945","16.2967","23.4614","26.8348"
"16","18","2018","27.3473","25.8322","26.6341","27.8159","29.9857","28.7775","29.781","30.458","25.0451","23.4718","24.538","25.5727"
"17","19","2018","4.3989","-2.73111","15.2163","19.9935","7.54066","-0.682022","19.5891","25.1576","1.78022","-5.18764","8.82826","15.3674"
"18","20","2018","9.57473","4.22111","14.613","19.9152","13.1242","7.04889","19.3826","25.0598","6.42527","1.70889","10.1457","15.037"
"19","22","2018","27.7714","28.3455","27.9239","26.0033","31.0948","31.8536","31.0031","28.404","24.7125","24.9197","24.1812","24.3"
"20","23","2018","22.4912","18.4133","21.7478","26.7065","24.8945","20.9348","24.2582","28.9813","19.7242","15.764","19.1011","24.1879"
"21","29","2018","-1.07692","0.00909091","0","-2.65161","-0.0428571","0.545455","0","-1.17419","-2.12857","-0.772727","0","-4.18387"
"22","241","2018","26.7923","25.7091","0","27.9758","30.1055","29.1455","0","31.3258","24.4989","23.3273","0","25.5774"
"23","32","2018","27.7231","27.0289","28.0293","27.925","31.9967","30.9256","32.1573","32.8191","23.4802","23.3933","24.1516","23.6225"
"24","34","2018","30.0165","29.3956","33.9804","29.0087","36.8637","37.4582","40.5212","33.5879","23.6538","21.5058","28.3333","24.9941"
"25","36","2018","28.2868","27.7833","28.9815","28.1217","31.756","31.6","32.1263","32.2556","24.6374","23.2887","24.7333","24.778"
"26","38","2018","2.02857","-6.55222","10.1935","21.2402","5.8022","-1.95111","15.6913","27.0543","-1.75055","-11.1167","4.69239","15.4087"
"27","39","2018","25.2311","21.9427","22.5584","25.7188","29.5938","25.5932","26.8239","29.4712","22.019","18.962","19.5427","23.1485"
