"id_tour","id_pays","annee","inbound_arrival"
"1","1","2013","1062000"
"2","3","2013","34000"
"3","4","2013","2347000"
"4","5","2013","9000"
"5","6","2013","39000"
"6","8","2013","220000"
"7","9","2013","2289000"
"8","10","2013","12000"
"9","11","2013","619000"
"10","12","2013","3825000"
"11","13","2013","17173000"
"12","14","2013","576000"
"13","15","2013","1598000"
"14","16","2013","1396000"
"15","17","2013","156000"
"16","18","2013","442000"
"17","19","2013","363000"
"18","20","2013","5560000"
"19","21","2013","131000"
"20","22","2013","138000"
"21","23","2013","387000"
"22","24","2013","4800"
"23","25","2013","284000"
"24","26","2013","59000"
"25","27","2013","115000"
"26","28","2013","521000"
"27","30","2013","1991000"
"28","241","2013","219000"
"29","32","2013","119000"
"30","33","2013","3466000"
"31","34","2013","124000"
"32","35","2013","34000"
"33","36","2013","220000"
"34","37","2013","100000"
"35","38","2013","16968000"
"36","39","2013","28000"
"37","40","2013","361000"
"38","41","2013","26000"
"39","42","2013","19000"
"40","43","2013","1540000"
"41","44","2013","20034000"
"42","47","2013","1399000"
"43","48","2013","23000"
"44","49","2013","37000"
"45","51","2013","48000"
"46","52","2013","785000"
"47","53","2013","1485000"
"48","54","2013","742000"
"49","55","2013","224000"
"50","56","2013","2100000"
"51","57","2013","3381000"
"52","50","2013","35000"
"53","59","2013","2125000"
"54","60","2013","21000"
"55","61","2013","60000"
"56","62","2013","1776000"
"57","220","2013","14000"
"58","64","2013","2871000"
"59","65","2013","235000"
"60","68","2013","530000"
"61","212","2013","300000"
"62","69","2013","103000"
"63","72","2013","318000"
"64","73","2013","1779000"
"65","74","2013","60033000"
"66","75","2013","68000"
"67","76","2013","172000"
"68","78","2013","125000"
"69","79","2013","45000"
"70","80","2013","1067000"
"71","81","2013","14847000"
"72","82","2013","286000"
"73","84","2013","10130000"
"74","86","2013","108000"
"75","87","2013","640000"
"76","88","2013","1362000"
"77","89","2013","1448000"
"78","91","2013","12000"
"79","92","2013","7800"
"80","93","2013","106000"
"81","94","2013","145000"
"82","97","2013","271000"
"83","98","2013","8007000"
"84","99","2013","2878000"
"85","100","2013","190000"
"86","101","2013","2124000"
"87","102","2013","9963000"
"88","103","2013","882000"
"89","105","2013","4818000"
"90","107","2013","2215000"
"91","108","2013","31052000"
"92","109","2013","1147000"
"93","112","2013","1075000"
"94","113","2013","1471000"
"95","114","2013","918000"
"96","115","2013","3900"
"97","118","2013","72000"
"98","119","2013","36000"
"99","120","2013","60000"
"100","121","2013","539000"
"101","122","2013","450000"
"102","123","2013","87000"
"103","125","2013","56000"
"104","126","2013","59400"
"105","127","2013","650000"
"106","128","2013","768000"
"107","129","2013","4202000"
"108","131","2013","75000"
"109","132","2013","192000"
"110","133","2013","7469000"
"111","134","2013","315000"
"112","135","2013","42000"
"113","136","2013","1116000"
"114","137","2013","5500"
"115","138","2013","457000"
"116","139","2013","24000"
"117","140","2013","422000"
"118","142","2013","20241000"
"119","143","2013","17600"
"120","144","2013","32000"
"121","145","2013","233000"
"122","146","2013","165000"
"123","147","2013","136000"
"124","148","2013","17700"
"125","149","2013","2602000"
"126","150","2013","323000"
"127","151","2013","194000"
"128","152","2013","272000"
"129","154","2013","363000"
"130","155","2013","6574000"
"131","156","2013","86000"
"132","157","2013","1475000"
"133","158","2013","281000"
"134","159","2013","35000"
"135","160","2013","656000"
"136","161","2013","2200"
"137","130","2013","147000"
"138","163","2013","669000"
"139","164","2013","2880000"
"140","165","2013","279000"
"141","166","2013","378000"
"142","167","2013","53000"
"143","168","2013","220000"
"144","169","2013","345000"
"145","170","2013","42000"
"146","171","2013","438000"
"147","172","2013","479000"
"148","173","2013","1760000"
"149","175","2013","19215000"
"150","176","2013","9511000"
"151","177","2013","3131000"
"152","178","2013","309000"
"153","182","2013","304000"
"154","179","2013","2757000"
"155","180","2013","19457000"
"156","181","2013","104000"
"157","26","2013","10000"
"158","185","2013","79000"
"159","186","2013","231000"
"160","189","2013","60000"
"161","190","2013","68000"
"162","191","2013","28000"
"163","192","2013","6200"
"164","193","2013","3325000"
"165","194","2013","280000"
"166","195","2013","312000"
"167","195","2013","228000"
"168","196","2013","121000"
"169","197","2013","13800"
"170","198","2013","6070000"
"171","26","2013","8800"
"172","199","2013","460000"
"173","200","2013","903000"
"174","201","2013","732000"
"175","202","2013","11800"
"176","204","2013","4488000"
"177","207","2013","32971000"
"178","208","2013","403000"
"179","209","2013","29000"
"180","210","2013","43000"
"181","213","2013","2310000"
"182","214","2013","6946000"
"183","215","2013","815000"
"184","217","2013","1600"
"185","218","2013","285000"
"186","219","2013","6952000"
"187","221","2013","53000"
"188","223","2013","29000"
"189","224","2013","260000"
"190","225","2013","4120000"
"191","226","2013","7083000"
"192","227","2013","218000"
"193","228","2013","79000"
"194","229","2013","900"
"195","230","2013","160000"
"196","231","2013","3716000"
"197","232","2013","2315000"
"198","233","2013","21719000"
"199","234","2013","43318000"
"200","242","2013","454000"
"201","236","2013","2022000"
"202","238","2013","44000"
"203","239","2013","700000"
"204","240","2013","975000"
"205","245","2013","61000"
"206","246","2013","163000"
"207","247","2013","1363000"
"208","1","2014","1062000"
"209","3","2014","34000"
"210","4","2014","2347000"
"211","5","2014","9000"
"212","6","2014","39000"
"213","8","2014","220000"
"214","9","2014","2289000"
"215","10","2014","12000"
"216","11","2014","619000"
"217","12","2014","3825000"
"218","13","2014","17173000"
"219","14","2014","576000"
"220","15","2014","1598000"
"221","16","2014","1396000"
"222","17","2014","156000"
"223","18","2014","442000"
"224","19","2014","363000"
"225","20","2014","5560000"
"226","21","2014","131000"
"227","22","2014","138000"
"228","23","2014","387000"
"229","24","2014","4800"
"230","25","2014","284000"
"231","26","2014","59000"
"232","27","2014","115000"
"233","28","2014","521000"
"234","30","2014","1991000"
"235","241","2014","219000"
"236","32","2014","119000"
"237","33","2014","3466000"
"238","34","2014","124000"
"239","35","2014","34000"
"240","36","2014","220000"
"241","37","2014","100000"
"242","38","2014","16968000"
"243","39","2014","28000"
"244","40","2014","361000"
"245","41","2014","26000"
"246","42","2014","19000"
"247","43","2014","1540000"
"248","44","2014","20034000"
"249","47","2014","1399000"
"250","48","2014","23000"
"251","49","2014","37000"
"252","51","2014","48000"
"253","52","2014","785000"
"254","53","2014","1485000"
"255","54","2014","742000"
"256","55","2014","224000"
"257","56","2014","2100000"
"258","57","2014","3381000"
"259","50","2014","35000"
"260","59","2014","2125000"
"261","60","2014","21000"
"262","61","2014","60000"
"263","62","2014","1776000"
"264","220","2014","14000"
"265","64","2014","2871000"
"266","65","2014","235000"
"267","68","2014","530000"
"268","212","2014","300000"
"269","69","2014","103000"
"270","72","2014","318000"
"271","73","2014","1779000"
"272","74","2014","60033000"
