id_transport,Year,Proportion of population that has convenient access to public transport,id_country
0,2020,54.93,0
1,2020,40.566666,3
2,2020,10.7,6
3,2020,57.547825,10
4,2020,83.48948,13
5,2020,95.74286,14
6,2020,83.1,15
7,2020,21.2,17
8,2020,51.806664,18
9,2020,83.611115,20
10,2018,94.336845,21
11,2020,92.815384,21
12,2020,42.414284,23
13,2020,33.5,25
14,2020,27.2,26
15,2020,71.100006,28
16,2020,70.4,29
17,2020,69.84865,31
18,2020,85.25,34
19,2020,37.7,35
20,2016,77.122856,39
21,2020,72.9,39
22,2020,86.46,44
23,2022,89.957146,44
24,2020,55.192593,45
25,2020,43.449997,48
26,2020,36.325,53
27,2020,50.466663,54
28,2020,88.740005,55
29,2020,55.61111,56
30,2020,90.2,58
31,2020,90.36875,59
32,2020,11.0,51
33,2020,93.71,60
34,2020,15.685715,63
35,2020,33.784615,64
36,2020,21.8125,65
37,2020,28.4,66
38,2020,96.86667,69
39,2020,31.785715,70
40,2020,24.466667,73
41,2020,94.2375,74
42,2020,95.29852,75
43,2020,19.4,77
44,2020,93.27524,82
45,2020,52.5,83
46,2020,90.38333,85
47,2020,45.266666,90
48,2020,43.300003,93
49,2020,17.566668,95
50,2020,21.34,98
51,2020,92.27857,100
52,2020,91.4,101
53,2020,38.800003,102
54,2020,32.93333,103
55,2020,38.003704,104
56,2020,8.1,105
57,2020,90.18,106
58,2017,99.87142,108
59,2020,94.53265,109
60,2020,32.9,110
61,2020,56.8,111
62,2020,7.3,113
63,2020,34.71111,114
64,2020,29.785715,115
65,2020,39.0,119
66,2020,53.309093,120
67,2020,89.700005,122
68,2020,23.85,123
69,2020,88.479996,128
70,2020,97.4,129
71,2020,56.79,132
72,2020,41.533337,133
73,2020,39.6,134
74,2020,98.8,135
75,2020,67.0,136
76,2020,97.3,137
77,2020,39.17647,143
78,2020,74.0,146
79,2020,47.3,147
80,2020,48.86,150
81,2020,35.44,151
82,2020,42.271427,152
83,2020,32.483334,155
84,2020,86.25208,156
85,2020,94.12222,158
86,2020,49.32857,159
87,2020,17.2,160
88,2020,19.525,161
89,2020,28.0625,117
90,2020,7.8,164
91,2020,90.2,165
92,2020,27.925,166
93,2020,18.496296,167
94,2020,23.2875,169
95,2020,32.166668,170
96,2020,18.599998,171
97,2020,11.9,172
98,2020,23.8,173
99,2020,31.5,174
100,2020,92.468254,176
101,2020,92.957146,177
102,2020,91.68,179
103,2020,74.64666,181
104,2020,77.86667,182
105,2020,30.0,183
106,2020,18.8,191
107,2020,30.4,194
108,2020,37.27778,195
109,2020,53.233334,196
110,2017,99.0,199
111,2020,92.41429,201
112,2020,92.5,202
113,2020,7.1,203
114,2020,13.2,205
115,2020,69.6,118
116,2020,95.98032,208
117,2020,45.457146,209
118,2020,13.888889,210
119,2020,87.11333,214
120,2018,92.07692,215
121,2020,93.05,215
122,2020,41.00769,218
123,2020,37.6,219
124,2020,27.199999,220
125,2020,46.63333,222
126,2021,56.355564,226
127,2020,58.3,227
128,2020,23.08889,228
129,2020,18.025,231
130,2020,81.666664,232
131,2020,50.75,233
132,2020,95.55827,234
133,2020,58.905712,235
134,2020,55.7,237
135,2020,18.942858,238
136,2020,42.465385,240
137,2020,48.666668,241
138,2020,41.019997,246
139,2020,9.4,247
140,2020,74.1,248
